Picture_Number;Name_of_the_Artist;Date;Title;Epoch_Style;Category_Name;Width_original;Height_original;Width_unified;Height_unified;Position_Horizontal_Vertical;Subset_Rated_by_Everyone;All_Liking_M;All_Liking_SD;All_Valence_M;All_Valence_SD;All_Arousal_M;All_Arousal_SD;All_Visual_Complexity_M;All_Visual_Complexity_SD;All_Familiarity_M;All_Familiarity_SD;Female_Liking_M;Female_Liking_SD;Female_Valence_M;Female_Valence_SD;Female_Arousal_M;Female_Arousal_SD;Female_Visual_Complexity_M;Female_Visual_Complexity_SD;Female_Familiarity_M;Female_Familiarity_SD;Male_Liking_M;Male_Liking_SD;Male_Valence_M;Male_Valence_SD;Male_Arousal_M;Male_Arousal_SD;Male_Visual_Complexity_M;Male_Visual_Complexity_SD;Male_Familiarity_M;Male_Familiarity_SD;Source
30611;Cézanne, Paul;1896;The Lac d'Annecy;Postimpressionistic tendencies;Landscape;1983;1596;1491;1200;h;0;4,25;1,8317;4,55;0,9987;2,3;0,6569;3,25;1,209;2,05;1,9595;4,6;1,8379;5;1,0541;2,3;0,6749;3,5;1,269;2,2;2,0976;3,9;1,8529;4,1;0,7379;2,3;0,6749;3;1,155;1,9;1,912;http://library.artstor.org
30612;Cézanne, Paul;1898-1900;In the Park at Chateau Noir;Postimpressionistic tendencies;Landscape;1273;1600;955;1200;v;0;4,2;1,3611;5;1,026;3,5;1,1002;3,85;0,933;1,35;0,9881;3,9;1,1005;4,8;0,9189;3,3;1,1595;3,8;1,135;1,3;0,6749;4,5;1,5811;5,2;1,1353;3,7;1,0593;3,9;0,738;1,4;1,2649;http://library.artstor.org
30613;Cézanne, Paul;ápr.02;Mont Sainte-Victoire;Postimpressionistic tendencies;Landscape;2017;1600;1513;1200;h;0;3,4;1,429;4,2;0,7678;3,35;1,5652;3,6;1,465;1,75;1,8602;3;1,118;4,111;0,928;2,778;1,0929;3,33;1,414;1,667;2;3,727;1,6181;4,273;0,6467;3,818;1,7787;3,82;1,537;1,818;1,834;http://library.artstor.org
30614;Cézanne, Paul;1906;Cottage of M.Jourdan;Postimpressionistic tendencies;Landscape;2000;1600;1500;1200;h;0;3,7;1,5252;4,35;1,04;3,8;1,4726;3,45;1,276;1,85;1,5985;3,444;1,424;4,556;0,7265;4,111;1,3642;3,22;1,481;1,556;1,1304;3,909;1,6404;4,182;1,2505;3,545;1,5725;3,64;1,12;2,091;1,9212;http://library.artstor.org
30615;Gogh van, Vincent;1888;Café Terrace at Night (Place du Forum in Arles);Postimpressionistic tendencies;Landscape;1293;1600;970;1200;v;0;5,75;1,3328;5,5;1,1471;3,75;1,4096;4,55;1,234;5,35;2,2542;6,364;0,809;5,909;0,8312;3,636;1,6293;4,64;1,286;6,091;1,446;5;1,5;5;1,3229;3,889;1,1667;4,44;1,236;4,444;2,7889;http://library.artstor.org
30616;Gogh van, Vincent;1889;The Starry Night;Postimpressionistic tendencies;Landscape;1993;1600;1495;1200;h;0;4,95;1,5381;5;1,1239;3,6;1,6351;4,55;1,276;6,15;1,6631;5,2;1,3166;5,1;1,2867;4,2;1,8135;4,9;1,37;6,7;0,6749;4,7;1,767;4,9;0,9944;3;1,2472;4,2;1,135;5,6;2,1705;http://library.artstor.org
30617;Gogh van, Vincent;1889;Wheat Field with Cypresses;Postimpressionistic tendencies;Landscape;2039;1600;1529;1200;h;1;4,733;1,4652;4,958;1,0322;3,375;1,5668;3,95;1,114;3,342;2,3064;4,717;1,4508;4,917;1,1243;3,617;1,5955;3,75;1,019;4,117;2,2024;4,75;1,4915;5;0,9388;3,133;1,5123;4,15;1,176;2,567;2,1579;http://library.artstor.org
30618;Gogh van, Vincent;1885;Landscape with Canal;Postimpressionistic tendencies;Landscape;3885;3209;1453;1200;h;0;4,4;1,667;4,5;1,1921;2,9;1,1653;3,05;1,504;1,9;1,6512;4,4;1,6465;4,2;1,1353;3,4;1,1738;3,1;1,729;2,6;2,0656;4,4;1,7764;4,8;1,2293;2,4;0,9661;3;1,333;1,2;0,6325;http://library.artstor.org
30619;Munch, Edvard;1893;Starry Night;Postimpressionistic tendencies;Landscape;1656;1600;1242;1200;h;0;3,75;1,5517;3,8;1,1517;2,4;1,3139;2,65;0,745;1,3;0,9234;4;1,9437;3,9;1,3703;2,5;1,354;2,8;0,789;1,5;1,2693;3,5;1,0801;3,7;0,9487;2,3;1,3375;2,5;0,707;1,1;0,3162;http://library.artstor.org
30620;Bernard, Émile;1882;Molosmes-Yonne;Postimpressionistic tendencies;Landscape;2304;1600;1728;1200;h;0;4,8;1,4364;4,95;0,7592;2,65;0,9881;3,7;1,174;1,6;1,2312;4,7;1,4181;5,1;0,7379;3,1;1,1005;4,2;1,135;1,7;1,2517;4,9;1,5239;4,8;0,7888;2,2;0,6325;3,2;1,033;1,5;1,2693;https://www.bukowskis.com/en/auctions/568/220-emile-bernard-olja-pa-papp-panna-signerad-emile-bernard-utford-1915
30621;Gauguin, Paul;1889;The Flageolet Player on the Cliff;Postimpressionistic tendencies;Landscape;2030;1600;1522;1200;h;0;3,4;1,429;4,25;1,0699;3,95;1,5381;4,15;1,309;1,4;1,0954;2,9;1,4491;4,2;1,1353;4,7;1,0593;4,2;1,135;1,8;1,4757;3,9;1,2867;4,3;1,0593;3,2;1,6193;4,1;1,524;1;0;http://library.artsor.org
30622;Gauguin, Paul;1893;Apatarao;Postimpressionistic tendencies;Landscape;1773;1600;1330;1200;h;0;4,35;1,2258;4,65;0,9333;2,7;1,0809;3,6;0,995;1,35;0,9333;4,455;1,3685;4,636;1,1201;2,636;1,0269;3,36;0,924;1,364;0,9244;4,222;1,0929;4,667;0,7071;2,778;1,2019;3,89;1,054;1,333;1;http://library.artsor.org
30623;Gauguin, Paul;1901;Landscape;Postimpressionistic tendencies;Landscape;1348;1600;1011;1200;v;0;4,8;1,0052;5,05;0,9445;3,5;1,2354;4,5;0,946;1,5;1,2773;4,818;1,0787;5,091;1,1362;3,364;1,4334;4,27;1,104;1,545;1,2933;4,778;0,9718;5;0,7071;3,667;1;4,78;0,667;1,444;1,3333;http://library.artsor.org
30624;Gauguin, Paul;1888;Landscape near Arles;Postimpressionistic tendencies;Landscape;1262;1600;946;1200;v;0;3,9;1,2937;4,25;1,1642;2,8;1,1965;3,15;1,182;2,45;1,572;3,7;1,4181;3,8;1,3166;2,8;1,1353;3,5;1,509;2,8;1,6193;4,1;1,1972;4,7;0,8233;2,8;1,3166;2,8;0,632;2,1;1,5239;http://en.wikipedia.org/wiki/Landscape_near_Arles
30625;Gauguin, Paul;1888;Landscape near Pont-Aven;Postimpressionistic tendencies;Landscape;2061;1600;1546;1200;h;0;4,15;1,387;4,45;0,759;2,6;0,681;3,6;1,188;1,7;1,4546;4,3;1,494;4,2;0,919;2,4;0,516;3,7;1,494;2,1;1,792;4;1,333;4,7;0,483;2,8;0,789;3,5;0,85;1,3;0,9487;http://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Landscape_near_Pont-Aven_-_Google_Art_Project.jpg
30626;Sérusier, Paul;1888;Talisman;Postimpressionistic tendencies;Landscape;1252;1600;939;1200;v;0;3,7;1,6255;4,25;0,7864;3,85;1,268;2,9;1,21;1,1;0,3078;3,7;1,7029;4,3;0,8233;4,4;1,075;2,9;1,595;1,2;0,4216;3,7;1,6364;4,2;0,7888;3,3;1,2517;2,9;0,738;1;0;http://library.artsor.org
30627;Sérusier, Paul;1890;Seeweed Gatherer;Postimpressionistic tendencies;Landscape;1941;1600;1456;1200;h;0;3,35;1,5652;4,25;0,9105;2,7;1,2183;2,6;0,995;2,1;1,8035;3,111;1,3642;4,333;0,866;2,778;1,2019;2,44;1,13;2;1,5811;3,545;1,7529;4,182;0,9816;2,636;1,2863;2,73;0,905;2,182;2,0405;http://library.artsor.org
30628;Sérusier, Paul;1890;The Fence;Postimpressionistic tendencies;Landscape;1955;1600;1467;1200;h;0;2,95;1,6051;4,15;1,0894;2,95;1,4681;2,95;0,887;1,35;0,8127;2,333;1,118;3,889;0,928;2,667;1,4142;2,78;0,441;1;0;3,455;1,8091;4,364;1,206;3,182;1,5374;3,09;1,136;1,636;1,0269;http://library.artsor.org
30629;Denis, Maurice;1890;Splashes of sunlight on the terrace;Postimpressionistic tendencies;Landscape;3476;3956;1050;1200;v;0;3,2;1,5079;3,65;0,9333;4,05;1,1459;2,75;1,372;1,2;0,6959;2,7;1,3375;3,4;1,075;4,7;0,6749;3;1,7;1,4;0,9661;3,7;1,567;3,9;0,7379;3,4;1,1738;2,5;0,972;1;0;http://library.artsor.org
30630;Böcklin, Arnold;1880;The Isle of the Dead (Toteninsel);Postimpressionistic tendencies;Landscape;2590;1403;1920;1040;h;0;5,4;1,0954;3,5;1,0513;3,45;1,7614;4,6;1,465;1,45;1,2763;5,2;1,3984;2,9;0,8756;3,7;1,7029;4,7;1,252;1,4;0,9661;5,6;0,6992;4,1;0,8756;3,2;1,8738;4,5;1,716;1,5;1,5811;http://library.artstor.org
30631;Böcklin, Arnold;1882;The Sacred Grove;Postimpressionistic tendencies;Landscape;2290;1600;1715;1200;h;0;5,45;0,8256;3,95;1,2344;4,1;1,7442;4,8;1,24;1,45;1,099;5,5;0,8498;3,8;1,5492;4,8;1,5492;5;0,943;1,9;1,4491;5,4;0,8433;4,1;0,8756;3,4;1,7127;4,6;1,506;1;0;http://library.artstor.org
30632;Böcklin, Arnold;1881;Ruin by the Sea;Postimpressionistic tendencies;Landscape;2916;4000;861;1200;v;0;5,7;1,0809;4,7;1,2183;2,95;1,2763;4,05;1,05;1,4;1,0954;5,818;1,0787;4,818;1,1677;3,091;1,3751;3,91;1,044;1,727;1,4206;5,556;1,1304;4,556;1,3333;2,778;1,2019;4,22;1,093;1;0;http://library.artstor.org
30633;Klimt, Gustav;1903;Beech Trees;Postimpressionistic tendencies;Landscape;1573;1600;1180;1200;v;0;4,9;1,4473;4,85;1,0894;3,25;1,8602;4,6;1,095;2,05;1,7911;4,556;1,5092;4,667;1,2247;2,778;1,5635;4,33;1,225;2,556;2,1279;5,182;1,4013;5;1;3,636;2,0627;4,82;0,982;1,636;1,4334;http://library.artstor.org
30634;Klimt, Gustav;1906;Country Garden with Sunflowers;Postimpressionistic tendencies;Landscape;1592;1600;1194;1200;v;0;3,9;1,6512;5,05;1,1459;3,05;1,3169;3,95;1,234;3,3;2,473;4,3;1,8288;5,4;1,3499;3,2;1,2293;3,9;1,449;4,1;2,331;3,5;1,4337;4,7;0,8233;2,9;1,4491;4;1,054;2,5;2,4608;http://library.artstor.org
30635;Hockney, David;1997;The Road across the Wolds;Postimpressionistic tendencies;Landscape;2031;1600;1523;1200;h;0;3,95;1,4681;4,75;0,9665;3,85;1,6311;3,3;0,979;1,85;1,387;3,5;1,6499;4,8;1,0328;4,5;1,7159;3,6;0,966;2,2;1,4757;4,4;1,1738;4,7;0,9487;3,2;1,3166;3;0,943;1,5;1,2693;http://www.visitbritainsuperblog.com/wp-content/uploads/2012/03/Road-across-the-wolds.jpg
30636;Rousseau, Henri;1885-95;Toll Gate;Postimpressionistic tendencies;Landscape;1281;1600;961;1200;v;0;3,4;1,4654;4,3;0,7327;2,9;0,8522;3,3;1,38;1,3;0,9234;3,6;1,8379;4,3;0,8233;3,2;1,0328;3,1;1,524;1,2;0,4216;3,2;1,0328;4,3;0,6749;2,6;0,5164;3,5;1,269;1,4;1,2649;http://library.artstor.org
30637;Rousseau, Henri;1909;The Environs of Paris;Postimpressionistic tendencies;Landscape;1914;1600;1436;1200;h;0;3,85;1,387;4,15;1,04;2,7;1,0311;3;0,725;1,25;0,9105;3,364;1,1201;3,727;0,9045;2,818;0,8739;3,27;0,467;1,091;0,3015;4,444;1,5092;4,667;1;2,556;1,236;2,67;0,866;1,444;1,3333;http://library.artstor.org
30638;Rousseau, Henri;after 1896;Ship in a Storm;Postimpressionistic tendencies;Landscape;1941;1600;1456;1200;h;0;4,35;1,6944;3,4;1,2732;4,65;1,2258;3,15;1,137;1,4;1,0463;4,8;1,3166;3,3;1,0593;4,8;0,7888;3,5;1,354;1,4;0,8433;3,9;1,9692;3,5;1,5092;4,5;1,5811;2,8;0,789;1,4;1,2649;http://library.artstor.org
30639;Wood, Grant;1931;The Birthplace of Herbert Hoover, West Branch, Iowa;Postimpressionistic tendencies;Landscape;2139;1600;1604;1200;h;0;4,45;1,3563;4,6;1,0463;3,9;1,3338;3,85;1,309;1,15;0,4894;4;1,2472;4,2;0,9189;4,1;1,3703;3,7;1,494;1,3;0,6749;4,9;1,3703;5;1,0541;3,7;1,3375;4;1,155;1;0;http://library.artstor.org
30701;Braque, Georges;1906;L'Estaque;Expressionistic tendencies;Landscape;1963;1600;1472;1200;h;0;3,35;1,7852;4,75;1,0699;3,9;1,3727;3,8;1,399;2,65;2,3902;3,9;1,8529;5,1;1,1005;4,3;1,4181;4,1;1,287;3,7;2,9078;2,8;1,6193;4,4;0,9661;3,5;1,2693;3,5;1,509;1,6;1,075;http://library.artstor.org
30702;Braque, Georges;júl.06;The Large Trees;Expressionistic tendencies;Landscape;1404;1600;1053;1200;v;0;4,1;1,7741;4,55;1,191;3,75;1,4464;3,95;1,504;2,2;2,0417;4,4;1,7127;4,5;1,5092;4,5;1,354;4,6;1,174;2,8;2,4855;3,8;1,8738;4,6;0,8433;3;1,1547;3,3;1,567;1,6;1,3499;http://library.artstor.org
30703;Derain, André;1905;Fishing Boats, Collioure;Expressionistic tendencies;Landscape;1949;1600;1464;1200;h;0;2,7;1,3803;4,1;0,8522;4;1,4868;3,45;0,945;1,75;1,713;2,7;1,1595;3,9;0,7379;4,4;1,3499;3,6;0,966;1,9;1,912;2,7;1,6364;4,3;0,9487;3,6;1,5776;3,3;0,949;1,6;1,5776;http://library.artstor.org
30704;Derain, André;jún.05;Charing Cross Bridge;Expressionistic tendencies;Landscape;1989;1600;1492;1200;h;0;4,3;1,3018;4,85;0,7452;3,75;1,2927;3,55;1,146;2,5;2,1643;4,545;1,3685;4,818;0,8739;4,273;1,1037;3,73;1,191;3,091;2,4271;4;1,2247;4,889;0,6009;3,111;1,2693;3,33;1,118;1,778;1,6415;http://library.artstor.org
30705;Friesz, Othon;1907;Paysage (Le Bec de l'Aigle, La Ciotat) (Landscape [The Eagle's Beak, La Ciotat]);Expressionistic tendencies;Landscape;2021;1600;1516;1200;h;0;3,6;1,875;4,4;1,1425;4,4;1,5009;4,2;1,322;1,45;0,887;3,8;2,4404;4,4;1,3499;5,1;1,1005;4,3;1,703;1,7;1,0593;3,4;1,1738;4,4;0,9661;3,7;1,567;4,1;0,876;1,2;0,6325;http://library.artstor.org
30706;Matisse, Henri;1905;Die Dächer von Collioure;Expressionistic tendencies;Landscape;1961;1592;1482;1200;h;0;2,75;1,2513;4,65;1,4244;3,8;1,5079;2,6;1,314;1,7;1,7199;3;1,2247;5,444;1,0138;3,889;1,5366;2,67;1,118;1,778;1,7159;2,545;1,2933;4;1,4142;3,727;1,5551;2,55;1,508;1,636;1,804;http://www.kunstduesseldorf.de/wp-content/uploads/2012/10/Folkwang_Matisse_les_toits_collioure_1905_300dpi.jpg
30707;Matisse, Henri;jún.05;Sketch for “Le Bonheur de vivre” (“The Joy of Life”);Expressionistic tendencies;Landscape;2184;1600;1638;1200;h;0;3,15;1,4244;4,5;1,1002;4,55;1,2763;3,95;1,05;2,05;1,6051;3,182;1,4709;4,455;1,3685;4,818;1,0787;4,27;0,905;2;1,3416;3,111;1,453;4,556;0,7265;4,222;1,4814;3,56;1,13;2,111;1,965;http://library.artstor.org
30708;Matisse, Henri;1906;Paysage: Les gen?ts (Landscape: Broom);Expressionistic tendencies;Landscape;2049;1600;1537;1200;h;0;2,45;1,191;4,1;0,7881;3,15;0,9881;2,9;1,119;1,45;1,2344;2,3;1,4181;4,3;0,483;2,9;1,1005;3,2;1,135;1,7;1,6364;2,6;0,9661;3,9;0,9944;3,4;0,8433;2,6;1,075;1,2;0,6325;http://library.artstor.org
30709;Vlaminck de, Maurice;1905;Restaurant de la Machine at Bougival;Expressionistic tendencies;Landscape;2173;1600;1630;1200;h;0;3,8;1,6733;4,65;1,2258;4;1,4142;3,75;1,482;2,1;2,1001;3;1,7638;4,3;1,3375;4,2;1,5492;4,2;1,687;2,6;2,5033;4,6;1,1738;5;1,0541;3,8;1,3166;3,3;1,16;1,6;1,5776;http://library.artstor.org
30710;Heckel, Erich;1917;The Augustijnenrei at Bruges in the Morning;Expressionistic tendencies;Landscape;1376;1600;1032;1200;v;0;3,25;1,3717;4,25;0,7864;3,2;1,2397;3,55;1,191;1,35;1,0894;2,6;1,075;4,1;0,5676;3,1;0,9944;3,6;0,966;1,4;1,2649;3,9;1,3703;4,4;0,9661;3,3;1,4944;3,5;1,434;1,3;0,9487;http://library.artstor.org
30711;Heckel, Erich;1918;Springtime;Expressionistic tendencies;Landscape;1612;1600;1209;1200;h;0;3,95;1,7006;5;1,214;3,5;1,2354;3,25;1,251;1,25;0,7164;4,2;2,0976;5;1,1547;3,9;1,2867;3,4;1,075;1,4;0,9661;3,7;1,2517;5;1,3333;3,1;1,1005;3,1;1,449;1,1;0,3162;http://library.artstor.org
30712;Kirchner, Ernst Ludwig;1918-19;Frauenkirch im Winter;Expressionistic tendencies;Landscape;1569;1600;1176;1200;v;0;3,55;1,572;4,2;1,1965;4,1;1,5861;3,55;1,191;1,5;1,1002;3,333;1,6583;4,333;1,118;3,667;1,5811;3,22;1,394;1,778;1,3017;3,727;1,5551;4,091;1,3003;4,455;1,5725;3,82;0,982;1,273;0,9045;http://library.artstor.org
30713;Kirchner, Ernst Ludwig;1919;Stafelalp in Moonlight;Expressionistic tendencies;Landscape;2312;1600;1734;1200;h;0;2,95;1,572;4,05;0,6863;4,35;1,5985;3,1;1,619;2;1,9735;3,4;1,5055;4;0,9428;5,2;0,9189;3,6;1,713;2,5;2,273;2,5;1,5811;4,1;0,3162;3,5;1,7159;2,6;1,43;1,5;1,5811;http://library.artstor.org
30714;Kirchner, Ernst Ludwig;1919;Waldinneres (Bergwald Frauenkirch);Expressionistic tendencies;Landscape;1173;1600;880;1200;v;0;3,6;1,5355;4,05;1,2763;3,55;1,0501;3,85;0,933;1,3;0,7327;3;1,4907;3,9;1,3703;3,4;1,1738;4,1;0,876;1,5;0,9718;4,2;1,3984;4,2;1,2293;3,7;0,9487;3,6;0,966;1,1;0,3162;http://library.artstor.org
30715;Pechstein, Max;1919;Boats Returning;Expressionistic tendencies;Landscape;1108;1600;831;1200;v;0;3,8;1,5761;3,95;0,9987;3,95;1,5035;3,25;1,07;1,1;0,3078;3,7;1,6364;3,8;1,0328;4,3;1,4181;3,3;1,16;1,1;0,3162;3,9;1,5951;4,1;0,9944;3,6;1,5776;3,2;1,033;1,1;0,3162;http://library.artstor.org
30716;Pechstein, Max;1922;Melting Snow;Expressionistic tendencies;Landscape;2045;1600;1534;1200;h;0;4,5;1,7014;4,85;1,3485;4,35;1,8144;3,75;1,07;1,6;1,3917;4,8;1,7512;5,3;1,0593;4,4;1,8974;3,9;0,994;1,4;0,9661;4,2;1,6865;4,4;1,5055;4,3;1,8288;3,6;1,174;1,8;1,7512;http://library.artstor.org
30717;Schmidt-Rottluff, Karl;1912;Houses at Night;Expressionistic tendencies;Landscape;1463;1600;1097;1200;v;0;3,65;1,5985;4,15;1,04;4,15;1,04;2,8;0,951;1,85;1,7252;3,909;1,5136;4,364;0,9244;4,273;1,009;3,18;0,751;2;2;3,333;1,7321;3,889;1,1667;4;1,118;2,33;1;1,667;1,4142;http://library.artstor.org
30718;Schmidt-Rottluff, Karl;1913;Village on the Sea;Expressionistic tendencies;Landscape;1873;1600;1405;1200;h;0;2,75;1,4464;3,75;0,7164;4,05;1,4318;3,35;1,348;1,6;1,5009;2,556;1,5092;3,778;0,6667;3,889;1,3642;3,44;1,509;1,222;0,6667;2,909;1,446;3,727;0,7862;4,182;1,5374;3,27;1,272;1,909;1,9212;http://library.artstor.org
30719;Schmidt-Rottluff, Karl;unknown;Prato in Maggiatal;Expressionistic tendencies;Landscape;2068;1600;1551;1200;h;0;2,4;1,5694;3,3;1,2607;4,7;1,2607;3,05;1,432;1,55;1,191;2,8;1,7512;3,4;1,6465;4,5;1,0801;3,3;1,636;1,9;1,5239;2;1,3333;3,2;0,7888;4,9;1,4491;2,8;1,229;1,2;0,6325;http://library.artstor.org
30720;Nolde, Emil;unknown;Matterhorn;Expressionistic tendencies;Landscape;2184;1600;1638;1200;h;0;4,45;1,8202;4,45;1,0501;3,35;1,387;3,2;1,196;1,5;1,1471;4,4;2,0111;4,3;0,8233;3,4;1,3499;3,1;1,101;1,7;1,3375;4,5;1,7159;4,6;1,2649;3,3;1,4944;3,3;1,337;1,3;0,9487;http://unidam.univie.ac.at
30721;Kupka, František;1909;Piano Keys: The Lake;Expressionistic tendencies;Landscape;1461;1600;1096;1200;v;0;4;1,8353;4,55;0,8256;4,05;1,3945;4,5;1,235;1,3;0,7327;4,1;1,912;4,9;0,7379;4,1;1,4491;4,7;1,16;1,5;0,9718;3,9;1,8529;4,2;0,7888;4;1,4142;4,3;1,337;1,1;0,3162;http://library.artstor.org
30722;Rivera, Diego;1956;Evening Twilight in Acapulco (Atardecer en Acapulco);Expressionistic tendencies;Landscape;2143;1600;1607;1200;h;0;4,7;1,7502;5,35;1,04;3,3;1,6575;3,35;1,04;1,9;1,4473;4,1;1,912;5,3;0,8233;3,8;1,6193;3,2;1,033;2,5;1,6499;5,3;1,4181;5,4;1,2649;2,8;1,6193;3,5;1,08;1,3;0,9487;http://library.artstor.org
30723;Jawlensky von, Alexej;1912;Hill;Expressionistic tendencies;Landscape;1920;1600;1440;1200;h;0;3,15;1,4609;3,95;0,9987;4,75;1,6182;3,25;1,209;1,65;1,3089;2,9;1,1972;3,9;1,1972;5,3;1,4181;3,2;1,229;1,8;1,5492;3,4;1,7127;4;0,8165;4,2;1,6865;3,3;1,252;1,5;1,0801;http://library.artstor.org
30724;Jawlensky von, Alexej;1912;Landscape in Oberstdorf, Bavaria;Expressionistic tendencies;Landscape;2237;1600;1678;1200;h;0;2,9;1,7137;3,9;1,2524;4,25;1,5174;2,35;1,089;1,35;0,9333;2,8;2,1499;3,9;1,4491;5;0,8165;2,5;1,269;1,5;1,2693;3;1,2472;3,9;1,1005;3,5;1,7159;2,2;0,919;1,2;0,4216;http://library.artstor.org
30725;Jawlensky von, Alexej;1912;Loneliness;Expressionistic tendencies;Landscape;2154;1600;1616;1200;h;1;3,333;1,677;4,333;1,0949;4;1,3842;2,46;1,159;1,425;1,1643;3,1;1,6945;4,267;1,0715;4,2;1,2185;2,52;1,228;1,5;1,334;3,567;1,6402;4,4;1,123;3,8;1,516;2,4;1,092;1,35;0,9712;http://library.artstor.org
30726;Jawlensky von, Alexej;1916;Wariacja;Expressionistic tendencies;Landscape;1184;1600;888;1200;v;0;3,15;1,7554;4,25;1,3328;3,65;1,7252;2,15;1,268;1,65;1,3485;3,2;2,044;4,6;1,5055;4,5;1,6499;2,3;1,567;1,9;1,6633;3,1;1,5239;3,9;1,1005;2,8;1,3984;2;0,943;1,4;0,9661;http://upload.wikimedia.org/wikipedia/commons/d/da/Alexej_von_Jawlensky_Variation_c1916.jpg
30727;Kandinsky, Wassily;1909;The Waterfall;Expressionistic tendencies;Landscape;2205;1600;1654;1200;h;0;3,3;1,6255;4,3;1,3803;4,4;1,3534;3,4;1,188;1,75;1,4464;2,8;1,4757;4,4;1,075;4,6;0,9661;3,4;1,174;1,7;1,1595;3,8;1,6865;4,2;1,6865;4,2;1,6865;3,4;1,265;1,8;1,7512;http://library.artstor.org
30728;Kandinsky, Wassily;Okt 09;"Sketch for ""Composition II""";Expressionistic tendencies;Landscape;2202;1600;1652;1200;h;0;3,15;1,7852;4,3;1,3018;4,85;1,1367;5,35;1,309;1,65;1,4965;2,818;1,4709;3,909;0,8312;5,091;0,7006;5,64;1,286;1,455;1,2136;3,556;2,1279;4,778;1,6415;4,556;1,5092;5;1,323;1,889;1,8333;http://library.artstor.org
30801;Braque, Georges;1908;Road near L'Estaque;Cubistic tendencies;Landscape;1326;1600;991;1200;v;0;3;1,6543;3,95;1,099;3,35;1,5313;3,35;1,424;1,4;0,9947;2,111;0,928;3,556;1,236;2,667;1;2,78;1,202;1,222;0,6667;3,727;1,7939;4,273;0,9045;3,909;1,7003;3,82;1,471;1,545;1,2136;http://library.artstor.org
30802;Braque, Georges;1909;La Roche Guyon;Cubistic tendencies;Landscape;1547;2000;920;1200;v;0;3,1;1,5861;3,6;0,9403;3,45;1,1459;3,4;0,883;1,25;0,7164;2,9;1,6633;3,3;1,0593;3,2;1,2293;3,4;0,843;1,2;0,4216;3,3;1,567;3,9;0,7379;3,7;1,0593;3,4;0,966;1,3;0,9487; 
30803;Braque, Georges;1909;Hafen in der Normandie;Cubistic tendencies;Landscape;2560;2554;1203;1200;h;1;3,642;1,5707;3,7;0,9222;4,025;1,4405;4,26;1,405;1,85;1,5155;3,3;1,3815;3,65;0,8198;4,05;1,2409;4,43;1,37;1,9;1,559;3,983;1,6823;3,75;1,0189;4;1,6261;4,08;1,43;1,8;1,4821;http://unidam.univie.ac.at
30804;Delaunay, Robert;1910;Eiffel Tower with Trees;Cubistic tendencies;Landscape;1171;1600;880;1200;v;0;3,95;1,8771;4,15;0,9333;4,25;1,0195;4,75;1,446;1,9;1,7137;3,5;1,9579;3,9;0,7379;4,3;0,8233;4,7;1,829;2;1,7638;4,4;1,7764;4,4;1,075;4,2;1,2293;4,8;1,033;1,8;1,7512;http://library.artstor.org
30805;Rivera, Diego;1913;Spanish Landscape;Cubistic tendencies;Landscape;1943;1600;1457;1200;h;0;4,05;1,6051;4,65;1,1367;3,4;1,3534;4,1;1,071;1,95;1,5381;3,909;1,7581;4,545;1,5076;3,273;1,1037;4;1,265;1,818;1,1677;4,222;1,4814;4,778;0,441;3,556;1,6667;4,22;0,833;2,111;1,965;http://library.artstor.org
30806;Rivera, Diego;1913;St.Martin`s Bridge in Toledo;Cubistic tendencies;Landscape;1978;1600;1484;1200;h;0;3,75;1,3328;4,35;0,7452;4,05;1,3169;4,2;1,436;1,9;1,3338;3,7;1,3375;4,4;0,8433;4,3;1,3375;4,6;1,578;2,6;1,5055;3,8;1,3984;4,3;0,6749;3,8;1,3166;3,8;1,229;1,2;0,6325;http://library.artstor.org
30807;Rivera, Diego;1913;Trees and Walls in Toledo;Cubistic tendencies;Landscape;1950;1600;1462;1200;h;0;4,1;1,5183;4,7;0,8013;3,3;1,5252;3,3;1,174;1,7;1,3416;5;1,1547;4,9;0,9944;3,7;1,767;3,6;1,174;2,3;1,7029;3,2;1,3166;4,5;0,527;2,9;1,1972;3;1,155;1,1;0,3162;http://library.artstor.org
30808;Marc, Franz;1914;Kleine Komposition II (Haus mit Bäumen);Cubistic tendencies;Landscape;1220;1600;914;1200;v;0;3,3;1,6255;3,8;1,105;4,1;1,3727;3,7;1,174;1,4;0,8826;3,3;1,6364;4;0,9428;4,3;1,1595;3,7;0,949;1,6;1,075;3,3;1,7029;3,6;1,2649;3,9;1,5951;3,7;1,418;1,2;0,6325;http://www.philipphauer.de/galerie/franz-marc/werke-gr/kleine-komposition-ii%28haus-mit-baeumen%29.jpg
31001;Demuth, Charles;1920;After Sir Christopher Wren;Realistic tendencies II. (20th-21st century);Landscape;1344;1600;1008;1200;v;0;4,3;1,3416;3,95;1,0501;3,9;1,4105;4,1;1,586;1,35;1,1367;4,2;1,5492;4,4;0,9661;4,3;0,6749;4,1;1,37;1,6;1,5776;4,4;1,1738;3,5;0,9718;3,5;1,8409;4,1;1,853;1,1;0,3162;http://library.artstor.org
